RUN	pg_to_gaussdb_snapshot_type_matrix	cargo test -p dt-tests --test integration_test -- pg_to_gaussdb::snapshot_tests::test::type_matrix_test --nocapture
PASS	pg_to_gaussdb_snapshot_type_matrix	.codex-tasks/20260403-gaussdb-gate-batchb-resilience/raw/batch-b/pg_to_gaussdb_snapshot_type_matrix.log
RUN	pg_to_gaussdb_struct_view_routine	cargo test -p dt-tests --test integration_test -- pg_to_gaussdb::struct_tests::test::struct_view_routine_test --nocapture
PASS	pg_to_gaussdb_struct_view_routine	.codex-tasks/20260403-gaussdb-gate-batchb-resilience/raw/batch-b/pg_to_gaussdb_struct_view_routine.log
RUN	gaussdb_to_pg_check_type_matrix	cargo test -p dt-tests --test integration_test -- gaussdb_to_pg::check_tests::test::type_matrix_test --nocapture
PASS	gaussdb_to_pg_check_type_matrix	.codex-tasks/20260403-gaussdb-gate-batchb-resilience/raw/batch-b/gaussdb_to_pg_check_type_matrix.log
RUN	gaussdb_to_pg_struct_view_routine	cargo test -p dt-tests --test integration_test -- gaussdb_to_pg::struct_tests::test::struct_view_routine_test --nocapture
PASS	gaussdb_to_pg_struct_view_routine	.codex-tasks/20260403-gaussdb-gate-batchb-resilience/raw/batch-b/gaussdb_to_pg_struct_view_routine.log
RUN	gaussdb_to_pg_cdc_type_matrix	cargo test -p dt-tests --test integration_test -- gaussdb_to_pg::cdc_tests::test::cdc_type_matrix_test --nocapture
PASS	gaussdb_to_pg_cdc_type_matrix	.codex-tasks/20260403-gaussdb-gate-batchb-resilience/raw/batch-b/gaussdb_to_pg_cdc_type_matrix.log
RUN	gaussdb_to_pg_cdc_resume	cargo test -p dt-tests --test integration_test -- gaussdb_to_pg::cdc_tests::test::cdc_resume_test --nocapture
PASS	gaussdb_to_pg_cdc_resume	.codex-tasks/20260403-gaussdb-gate-batchb-resilience/raw/batch-b/gaussdb_to_pg_cdc_resume.log
